Pid,Shoe name,isNew,Gender,category,isBestSeller,isMemberExclusive,isSustainable,inStock,numColors,Color 1,Color 2,Color 3,Color 4,Price,Expensive
1012357344,"Tatum 1 ""Old School""",True,Basketball Shoes,Basketball Shoes,False,False,False,True,4,Black,Wolf Grey,Anthracite,Metallic Silver,120,False
1012705174,InfinityRN 4,False,Men,Road Running Shoes,False,False,False,False,4,White,Light Lemon Twist,Volt,Black,160,True
1012295710,InfinityRN 4,False,Men,Road Running Shoes,False,False,False,False,4,White,Fuchsia Dream,Blue Lightning,Black,160,True
1012272109,InfinityRN 4,False,Men,Road Running Shoes,False,False,False,False,3,Black,White,Black,NaN,160,True
1012281008,InfinityRN 4,False,Men,Road Running Shoes,False,False,False,False,4,Black,Anthracite,Racer Blue,White,160,True
1012274555,InfinityRN 4,False,Men,Road Running Shoes,False,False,False,False,3,Black,Anthracite,Black,NaN,160,True
1000322949,React Infinity 3,False,Men,Road Running Shoes,False,False,False,True,4,College Navy,Midnight Navy,Black,Metallic Silver,160,True
14228968,React Infinity 3,False,Men,Road Running Shoes,False,False,False,True,4,Obsidian,White,Light Crimson,Bright Spruce,160,True
14079332,React Infinity 3,False,Men,Road Running Shoes,False,False,False,True,4,Dark Beetroot,University Gold,Bright Crimson,White,160,True
13824752,React Infinity 3,False,Men,Road Running Shoes,False,False,False,True,4,Dutch Blue,Black,Blue Glow,Phantom,160,True
1000272271,React Infinity 3,False,Men,Road Running Shoes,False,False,False,True,4,White,Platinum Tint,Velvet Brown,Light Crimson,160,True
14228967,React Infinity 3,False,Men,Road Running Shoes,False,False,False,True,4,White,Pearl White,Hyper Pink,Black,160,True
13926163,React Infinity 3,False,Men,Road Running Shoes,False,False,False,True,4,Black,Team Red,Volt,Siren Red,160,True
14009100,React Infinity 3,False,Men,Road Running Shoes,False,False,False,True,4,Pure Platinum,Psychic Purple,Iris Whisper,Black,170,True
1010081830,React Infinity 3,False,Men,Road Running Shoes,False,False,False,True,4,Black,Obsidian,Bright Crimson,Black,160,True
13822479,React Infinity 3,False,Men,Road Running Shoes,False,False,False,True,3,Black,Black,Black,NaN,160,True
13926162,React Infinity 3,False,Men,Road Running Shoes,False,False,False,True,4,Black,Grey Fog,White,Dark Smoke Grey,160,True
13926164,React Infinity 3,False,Men,Road Running Shoes,False,False,False,True,4,White,Blue Orbit,Chlorine Blue,Black,160,True
1011843088,React Infinity 3,False,Men,Road Running Shoes,False,False,False,True,4,Sail,Light Bone,Pinksicle,Earth,160,True
13821716,React Infinity 3,False,Men,Road Running Shoes,False,False,False,True,2,Black,White,NaN,NaN,160,True
1012280676,Air Max 90,True,Men,Shoes,False,False,False,True,4,Neutral Olive,Medium Olive,Sequoia,Neutral Olive,130,True
1012312216,Air Max 90,False,Men,Shoes,False,False,False,True,4,Photon Dust,Cool Grey,Black,Light Thistle,130,True
1012313306,Air Max 90,False,Men,Shoes,False,False,False,True,4,Summit White,Ironstone,Black,Red Stardust,130,True
